
---------- Begin Simulation Statistics ----------
simSeconds                                   0.176542                       # Number of seconds simulated (Second)
simTicks                                 176541706120                       # Number of ticks simulated (Tick)
finalTick                                176541706120                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1936.03                       # Real time elapsed on the host (Second)
hostTickRate                                 91187643                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                  268783568                       # Number of bytes of host memory used (Byte)
simInsts                                     67408805                       # Number of instructions simulated (Count)
simOps                                      116912226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    34818                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      60388                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        335630621                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.979032                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.200842                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       264019393                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      159                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      216356681                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  96570                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            147107318                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         294380403                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           335493134                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.644892                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.196212                       # Number of insts issued each cycle (Count)
system.ruby.network.routers0.throttle00.total_msg_count         1721                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle00.total_msg_bytes        60872                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle00.total_data_msg_bytes        47104                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle00.total_msg_wait_time            0                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle00.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle00.total_bw_sat_cy         2944                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle00.avg_msg_wait_time            0                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle00.avg_bandwidth         0.44                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle00.avg_useful_bandwidth         0.34                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle00.msg_count.Control::1            6                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Control::2          243                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Control::1           48                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Control::2         1944                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Data::3         1472                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Data::3        58880                       (Unspecified)
system.ruby.network.routers0.throttle01.acc_link_utilization            0                       # Accumulated link utilization system.ruby.network.int_links00 (Count)
system.ruby.network.routers0.throttle01.link_utilization            0                       # Average link utilization (Ratio)
system.ruby.network.routers0.throttle01.total_msg_count            0                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle01.total_msg_bytes            0                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle01.total_data_msg_bytes            0                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle01.total_msg_wait_time            0                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle01.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle01.total_bw_sat_cy            0                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle01.avg_msg_wait_time          nan                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle01.avg_bandwidth         0.00                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle01.avg_useful_bandwidth         0.00                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle02.acc_link_utilization   887.500000                       # Accumulated link utilization system.ruby.network.int_links01 (Count)
system.ruby.network.routers0.throttle02.link_utilization     0.345906                       # Average link utilization (Ratio)
system.ruby.network.routers0.throttle02.total_msg_count         1727                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle02.total_msg_bytes        14200                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle02.total_data_msg_bytes          384                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle02.total_msg_wait_time         3000                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle02.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle02.total_bw_sat_cy           24                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle02.avg_msg_wait_time     1.737116                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle02.avg_bandwidth         0.10                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle02.avg_useful_bandwidth         0.00                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle02.msg_count.Control::0          979                       (Unspecified)
system.ruby.network.routers0.throttle02.msg_count.Control::2          736                       (Unspecified)
system.ruby.network.routers0.throttle02.msg_bytes.Control::0         7832                       (Unspecified)
system.ruby.network.routers0.throttle02.msg_bytes.Control::2         5888                       (Unspecified)
system.ruby.network.routers0.throttle02.msg_count.Data::3           12                       (Unspecified)
system.ruby.network.routers0.throttle02.msg_bytes.Data::3          480                       (Unspecified)
system.ruby.network.routers0.throttle03.acc_link_utilization            0                       # Accumulated link utilization system.ruby.network.int_links02 (Count)
system.ruby.network.routers0.throttle03.link_utilization            0                       # Average link utilization (Ratio)
system.ruby.network.routers0.throttle03.total_msg_count            0                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle03.total_msg_bytes            0                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle03.total_data_msg_bytes            0                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle03.total_msg_wait_time            0                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle03.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle03.total_bw_sat_cy            0                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle03.avg_msg_wait_time          nan                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle03.avg_bandwidth         0.00                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle03.avg_useful_bandwidth         0.00                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle04.acc_link_utilization            0                       # Accumulated link utilization system.ruby.network.int_links03 (Count)
system.ruby.network.routers0.throttle04.link_utilization            0                       # Average link utilization (Ratio)
system.ruby.network.routers0.throttle04.total_msg_count            0                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle04.total_msg_bytes            0                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle04.total_data_msg_bytes            0                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle04.total_msg_wait_time            0                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle04.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle04.total_bw_sat_cy            0                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle04.avg_msg_wait_time          nan                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle04.avg_bandwidth         0.00                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle04.avg_useful_bandwidth         0.00                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle05.acc_link_utilization            0                       # Accumulated link utilization system.ruby.network.int_links04 (Count)
system.ruby.network.routers0.throttle05.link_utilization            0                       # Average link utilization (Ratio)
system.ruby.network.routers0.throttle05.total_msg_count            0                       # Total number of messages forwarded by this switch (Count)
system.ruby.network.routers0.throttle05.total_msg_bytes            0                       # Total number of bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle05.total_data_msg_bytes            0                       # Total number of data bytes forwarded by this switch (Byte)
system.ruby.network.routers0.throttle05.total_msg_wait_time            0                       # Total time spend forwarding messages (Tick)
system.ruby.network.routers0.throttle05.total_stall_cy            0                       # Total time spent blocked on any output link (Cycle)
system.ruby.network.routers0.throttle05.total_bw_sat_cy            0                       # Total time bandwidth was saturated on any output link (Cycle)
system.ruby.network.routers0.throttle05.avg_msg_wait_time          nan                       # Average time a message took to be forwarded (Ratio)
system.ruby.network.routers0.throttle05.avg_bandwidth         0.00                       # Average bandwidth (GB/s) (Ratio)
system.ruby.network.routers0.throttle05.avg_useful_bandwidth         0.00                       # Average useful (only data) bandwidth (GB/s) (Ratio)
system.ruby.network.routers1.percent_links_utilized     0.189745                       # Percent utilization of all links (out of 100) (Ratio)
system.ruby.network.routers1.msg_count.Control::0          521                       # Total messages through switch (Count)
system.ruby.network.routers1.msg_count.Control::1            7                       # Total messages through switch (Count)
system.ruby.network.routers1.msg_count.Control::2          574                       # Total messages through switch (Count)
system.ruby.network.routers1.msg_bytes.Control::0         4168                       # Total bytes through switch (Byte)
system.ruby.network.routers1.msg_bytes.Control::1           56                       # Total bytes through switch (Byte)
system.ruby.network.routers1.msg_bytes.Control::2         4592                       # Total bytes through switch (Byte)
system.ruby.network.routers1.msg_count.Data::3          948                       # Total messages through switch (Count)
system.ruby.network.routers1.msg_bytes.Data::3        37920                       # Total bytes through switch (Byte)
system.ruby.network.routers1.port_buffers1.m_msg_count            7                       # Number of messages passed the buffer (Count)
